80169755,Movie,Joaquín Reyes: Una y no más,José Miguel Contreras,Joaquín Reyes,,2017,TV-MA,78 min,Stand-Up Comedy,Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses & bathroom habits & royalty and more.
70299204,Movie,Kidnapping Mr. Heineken,Daniel Alfredson,Jim Sturgess| Sam Worthington| Ryan Kwanten| Anthony Hopkins| Mark van Eeuwen| Thomas Cocquerel| Jemima West| David Dencik,Netherlands | Belgium | United Kingdom | United States,2015,R,95 min,Action | Adventure| Dramas| International Movies,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983 & his abductors make the largest ransom demand in history."
80182480,Movie,Krish Trish and Baltiboy,,Damandeep Singh Baggan| Smita Malhotra| Baba Sehgal,,2009,TV-Y7,58 min,Comedies | Children | Family Movies,A team of minstrels & including a monkey & cat and donkey & narrate folktales from the Indian regions of Rajasthan & Kerala and Punjab.
80182483,Movie,Krish Trish and Baltiboy: Battle of Wits,Munjal Shroff| Tilak Shetty,Damandeep Singh Baggan| Smita Malhotra| Baba Sehgal| Deepak Chachra,,2013,TV-Y7,62 min,Comedies | Children | Family Movies,An artisan is cheated of his payment & a lion of his throne and a brother of his inheritance in these three stories of deception and justice.
80182596,Movie,Krish Trish and Baltiboy: Best Friends Forever,Munjal Shroff| Tilak Shetty,Damandeep Singh Baggan| Smita Malhotra| Deepak Chachra,,2016,TV-Y,65 min,Comedies | Children | Family Movies,A cat & monkey and donkey team up to narrate folktales about friendship from Northeast India & and the Indian regions of Bihar and Rajasthan.
80182482,Movie,Krish Trish and Baltiboy: Comics of India,Tilak Shetty,Damandeep Singh Baggan| Smita Malhotra| Baba Sehgal,,2012,TV-Y7,61 min,Comedies | Children | Family Movies,In three comic-strip-style tales & a boy tries to sell wisdom & a demon is released from captivity & and a king assigns impossible tasks to his minister.
80182597,Movie,Krish Trish and Baltiboy: Oversmartness Never Pays,Tilak Shetty,Rishi Gambhir| Smita Malhotra| Deepak Chachra,,2017,TV-Y7,65 min,Comedies | Children | Family Movies,A cat & monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan & West Bengal and Maharashtra.
80182481,Movie,Krish Trish and Baltiboy: Part II,,Damandeep Singh Baggan| Smita Malhotra| Baba Sehgal,,2010,TV-Y7,58 min,Comedies | Children | Family Movies,Animal minstrels narrate stories about a monkey's friendship with a crocodile & two monkeys' foolishness and a villager's encounter with a demon.
80182621,Movie,Krish Trish and Baltiboy: The Greatest Trick,Munjal Shroff| Tilak Shetty,Damandeep Singh Baggan| Smita Malhotra| Baba Sehgal,,2013,TV-Y7,60 min,Comedies | Children | Family Movies,The consequences of trickery are explored in stories involving an inconsiderate husband & two greedy courtiers & and a kind man who loses everything.
80057969,Movie,Love,Gaspar Noé,Karl Glusman| Klara Kristin| Aomi Muyock| Ugo Fox| Juan Saavedra| Gaspar Noé| Isabelle Nicou| Benoît Debie| Vincent Maraval| Déborah Révy,France | Belgium,2015,NR,135 min,Cult Movies| Dramas| Independent Movies,A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.
80060297,Movie,Manhattan Romance,Tom O'Brien,Tom O'Brien| Katherine Waterston| Caitlin Fitzgerald| Gaby Hoffmann| Louis Cancelmi| Zach Grenier,United States,2014,TV-14,98 min,Comedies| Independent Movies| Romantic Movies,A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.
80046728,Movie,Moonwalkers,Antoine Bardou-Jacquet,Ron Perlman| Rupert Grint| Robert Sheehan| Stephen Campbell Moore| Eric Lampaert| Kevin Bishop| Tom Audenaert| Erika Sainte,France | Belgium,2015,R,96 min,Action | Adventure| Comedies| International Movies,A brain-addled war vet & a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing.
80046727,Movie,Rolling Papers,Mitch Dickman,,United States | Uruguay,2015,TV-MA,79 min,Documentaries,As the newspaper industry takes a hit & The Denver Post breaks new ground with a section dedicated to cannabis culture.
70304988,Movie,Stonehearst Asylum,Brad Anderson,Kate Beckinsale| Jim Sturgess| David Thewlis| Brendan Gleeson| Ben Kingsley| Michael Caine| Jason Flemyng| Sophie Kennedy Clark| Sinéad Cusack| Edmund Kingsley,United States,2014,PG-13,113 min,Horror Movies| Thrillers,In 1899 & a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient.
80057700,Movie,The Runner,Austin Stark,Nicolas Cage| Sarah Paulson| Connie Nielsen| Wendell Pierce| Bryan Batt| Peter Fonda| Dana Gourrier,United States,2015,R,90 min,Dramas| Independent Movies,A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.
80045922,Movie,6 Years,Hannah Fidell,Taissa Farmiga | Ben Rosenfield | Lindsay Burdge | Joshua Leonard | Jennifer Lafleur | Peter Vack | Dana Wheeler-Nicholson | Jason Newman | Molly McMichael,United States,2015,NR,80 min,Dramas ,As a volatile young couple who have been together for six years approach college graduation & unexpected career opportunities threaten their future.
